alpha,downtown_fpr,classical_fpr
0.000000,0.430395,0.555441
0.025000,0.444295,0.555441
0.050000,0.458196,0.555441
0.075000,0.472097,0.555441
0.100000,0.485997,0.555441
0.125000,0.499898,0.555441
0.150000,0.513799,0.555441
0.175000,0.527700,0.555441
0.200000,0.541600,0.555441
0.225000,0.555501,0.555441
0.250000,0.569402,0.555441
0.275000,0.583303,0.555441
0.300000,0.597203,0.555441
0.325000,0.611104,0.555441
0.350000,0.625005,0.555441
0.375000,0.638905,0.555441
0.400000,0.652806,0.555441
0.425000,0.666707,0.555441
0.450000,0.680608,0.555441
0.475000,0.694508,0.555441
0.500000,0.708409,0.555441
0.525000,0.722310,0.555441
0.550000,0.736211,0.555441
0.575000,0.750111,0.555441
0.600000,0.764012,0.555441
0.625000,0.777913,0.555441
0.650000,0.791813,0.555441
0.675000,0.805714,0.555441
0.700000,0.819615,0.555441
0.725000,0.833516,0.555441
0.750000,0.847416,0.555441
0.775000,0.861317,0.555441
0.800000,0.875218,0.555441
0.825000,0.889118,0.555441
0.850000,0.903019,0.555441
0.875000,0.916920,0.555441
0.900000,0.930821,0.555441
0.925000,0.944721,0.555441
0.950000,0.958622,0.555441
0.975000,0.972523,0.555441
1.000000,0.986424,0.555441
1.025000,1.000324,0.555441
1.050000,1.014225,0.555441
1.075000,1.028126,0.555441
1.100000,1.042026,0.555441
1.125000,1.055927,0.555441
1.150000,1.069828,0.555441
1.175000,1.083729,0.555441
1.200000,1.097629,0.555441
1.225000,1.111530,0.555441
