classifier,memory_budget_bytes,model_size_bytes,entries_tested,fpr_learning,fp_permuted_cuckoo_lbf,fp_noy_cuckoo,noy_skipped_items
GaussianNB,52424,1943,42892,0.0341788678541453,0.006178308309241817,0.005945164599459107,60246
GaussianNB,104856,1943,43007,0.03445950659195015,0.003255284023531053,0.0029297556211779477,20281
GaussianNB,262144,1943,42809,0.03417505664696676,0.001354855287439557,0.0015884510266532738,7098
GaussianNB,524288,1943,42968,0.035817352448333645,0.0007447402718301992,0.0007447402718301992,6266
GaussianNB,1048576,1943,42962,0.035193892276895865,0.0004189749080582841,0.0006284623620874261,6174
GaussianNB,2097152,1943,42810,0.03389395001167952,0.000233590282644242,0.000350385423966363,6163
GaussianNB,4194304,1943,42689,0.03431797418538734,7.027571505540069e-05,0.00021082714516620208,6180
GaussianNB,8388608,1943,42620,0.0338338808071328,4.692632566870014e-05,9.385265133740028e-05,6150
LinearSVC,52424,1419,42726,0.0395543697046295,0.005710808407058934,0.005968262884426345,60169
LinearSVC,104856,1419,42457,0.03900416892385237,0.003179687684009704,0.004404456273406034,20255
LinearSVC,262144,1419,42699,0.0390641467013279,0.0017799011686456358,0.0014520246375793345,7090
LinearSVC,524288,1419,42589,0.039024161168376814,0.0010331306205827796,0.001197492310220949,6279
LinearSVC,1048576,1419,43050,0.037282229965156795,0.0003716608594657375,0.0006504065040650406,6186
LinearSVC,2097152,1419,42731,0.04041562331796588,0.0002106199246448714,0.0003276309938920222,6149
LinearSVC,4194304,1419,42956,0.038341558804357946,0.00013967780985194153,0.00016295744482726512,6181
LinearSVC,8388608,1419,42943,0.03926134643597327,9.314672938546445e-05,6.986004703909834e-05,6171
