classifier,memory_budget_bytes,model_size_bytes,entries_tested,fpr_classical,fpr_learning,fp_permuted_partitioned_lbf
GaussianNB,52424,1943,42902,0.4023821733252529,0.035149876462635773,0.3078178173511724
GaussianNB,104856,1943,42684,0.15000937119295285,0.034415706119388996,0.08722237840877144
GaussianNB,262144,1943,42538,0.008745122008557055,0.03387559358691053,0.0027269735295500494
GaussianNB,524288,1943,42965,0.00013964855114628185,0.034074246479692774,0.00013964855114628185
GaussianNB,1048576,1943,42363,0.00011802752401860114,0.033472605811675285,0.00011802752401860114
GaussianNB,2097152,1943,42779,0.00014025573295308445,0.03466654199490404,0.00014025573295308445
GaussianNB,4194304,1943,42720,4.6816479400749066e-05,0.03410580524344569,4.6816479400749066e-05
GaussianNB,8388608,1943,42889,9.326400708806454e-05,0.03380820256942339,9.326400708806454e-05
LinearSVC,52424,1419,42799,0.4034440057010678,0.04051496530292764,0.28533376948059536
LinearSVC,104856,1419,43025,0.15044741429401512,0.03814061592097618,0.0790005810575247
LinearSVC,262144,1419,42696,0.008501967397414278,0.039020048716507404,0.0024358253700580853
LinearSVC,524288,1419,42980,0.00016286644951140066,0.03948348068869242,0.00013959981386691485
LinearSVC,1048576,1419,42815,7.006890108606797e-05,0.03898166530421581,7.006890108606797e-05
LinearSVC,2097152,1419,43179,6.947821857847565e-05,0.040783714305565204,6.947821857847565e-05
LinearSVC,4194304,1419,42684,7.028394714647174e-05,0.03792990347671259,7.028394714647174e-05
LinearSVC,8388608,1419,42911,4.6608095826245015e-05,0.037869077858824075,4.6608095826245015e-05
